feature_name,importance
week_num,14520.544256210327
acc_mileage,4077.2829036712646
ir,6927.108690261841
mile,2706.2389640808105
daily_mile_(mean),6319.821186065674
driving_time,33908.22006607056
v_(mean),1857.8123025894165
v_99%,1948.2452573776245
v_50%,1791.6018152236938
EV_%,1437.3402032852173
FV_%,1333.9428329467773
acc_pedal(mean),2854.668840408325
acc_pedal(99%),6814.426766395569
acc_pedal(50%),408.84779930114746
dec_pedal(mean),2074.5968055725098
dec_pedal(99%),3455.9110612869263
dec_pedal(50%),283.6646976470947
BMS_discharge_temp_max,2018.6921548843384
BMS_discharge_temp_min,2366.3080043792725
BMS_discharge_temp_mean,1520.4632024765015
BMS_discharge_power_max,3911.470700263977
BMS_discharge_power_mean,2082.652709007263
cell_discharge_temp_max,575.4390983581543
cell_discharge_temp_min,1108.6089973449707
cell_discharge_temp_diff_max,1184.1514072418213
cell_discharge_temp_diff_mean,12127.080389022827
E-motor_speed_max,14829.057969093323
E-motor_speed_mean,1562.7790536880493
E-motor_torque+_max,19297.49095916748
E-motor_torque+_mean,1665.9590225219727
E-motor_torque-_max,1714.9689111709595
E-motor_torque-_mean,6017.585713386536
E-motor_torque-_percentage,1738.4959077835083
E-motor_temp_mean,1449.6180715560913
E-motor_temp_99%,4051.4386491775513
E-motor_temp_50%,614.1243000030518
E-motor_temp_1%,1194.011957168579
LE_temp_mean,1253.8693923950195
LE_temp_99%,1333.2480964660645
LE_temp_50%,524.6013994216919
LE_temp_1%,810.4993953704834
BMS_charge_temp_max,2374.923583984375
BMS_discharge_temp_min.1,2261.2570972442627
BMS_charge_temp_mean,2579.0068969726562
BMS_charge_power_max,19368.916666984558
BMS_charge_power_mean,3310.264844894409
cell_charge_temp_max,551.0098009109497
cell_charge_temp_min,758.9767942428589
cell_charge_temp_diff_max,624.2760648727417
cell_charge_temp_diff_mean,2190.71999835968
charge_times,5147.411587715149
mode2_percentage,646.19859790802
mode3_percentage,411.41859912872314
charge_start_SOC_mean,1940.724573135376
charge_start_SOC_50%,1438.878695487976
charge_end_SOC_mean,13086.128319263458
charge_end_SOC_50%,2549.2788982391357
mean(ΔSOC),9159.452249526978
sum(ΔSOC),3784.2080001831055
VIN,75113.21920967102
region,549.1097450256348
province,33731.89553928375
